iter	Passed	Remaining
398	1941	2924
399	1942	2913
400	1943	2902
401	1943	2891
402	1944	2880
403	1944	2869
404	1945	2858
405	1946	2847
406	1946	2836
407	1947	2825
408	1948	2815
409	1948	2804
410	1949	2793
411	1950	2783
412	1951	2773
413	1951	2762
414	1952	2752
415	1953	2742
416	1954	2732
417	1954	2722
418	1955	2711
419	1956	2701
420	1956	2691
421	1957	2681
422	1958	2671
423	1958	2661
424	1959	2651
425	1960	2641
426	1960	2631
427	1961	2621
428	1962	2611
429	1962	2601
430	1963	2592
431	1964	2582
432	1965	2573
433	1966	2564
434	1966	2554
435	1967	2544
436	1968	2535
437	1968	2526
438	1969	2516
439	1969	2507
440	1970	2497
441	1971	2488
442	1971	2479
443	1972	2470
444	1973	2460
445	1973	2451
446	1974	2442
447	1975	2433
448	1976	2425
449	1977	2416
450	1977	2407
451	1978	2399
452	1979	2390
453	1980	2382
454	1981	2373
455	1982	2364
456	1982	2355
457	1983	2347
458	1984	2338
459	1984	2329
460	1985	2321
461	1986	2312
462	1986	2304
463	1987	2295
464	1987	2287
465	1988	2278
466	1989	2270
467	1990	2262
468	1991	2254
469	1992	2246
470	1992	2238
471	1993	2230
472	1994	2222
473	1995	2214
474	1996	2206
475	1997	2198
476	1998	2191
477	1999	2183
478	2000	2175
479	2001	2168
480	2002	2160
481	2003	2152
482	2003	2145
483	2004	2137
484	2005	2129
485	2006	2121
486	2007	2114
487	2008	2106
488	2009	2099
489	2010	2092
490	2011	2084
491	2011	2077
492	2012	2069
493	2013	2062
494	2014	2054
495	2015	2047
496	2016	2041
497	2018	2034
498	2019	2027
499	2020	2020
500	2021	2012
501	2021	2005
502	2023	1999
503	2024	1992
504	2025	1985
505	2025	1977
506	2026	1970
507	2027	1963
508	2028	1956
509	2028	1949
510	2029	1942
511	2030	1935
512	2031	1928
513	2032	1921
514	2033	1914
515	2033	1907
516	2034	1900
517	2035	1893
518	2036	1887
519	2037	1880
520	2038	1873
521	2039	1867
522	2040	1860
523	2040	1853
524	2041	1847
525	2042	1840
526	2043	1833
527	2043	1827
528	2044	1820
529	2045	1813
530	2046	1807
531	2046	1800
532	2047	1794
533	2048	1787
534	2049	1781
535	2049	1774
536	2050	1767
537	2051	1761
538	2052	1755
539	2053	1749
540	2054	1743
541	2055	1736
542	2056	1730
543	2057	1724
544	2057	1717
545	2058	1711
546	2059	1705
547	2060	1699
548	2060	1693
549	2061	1686
550	2062	1680
551	2063	1674
552	2064	1668
553	2065	1662
554	2066	1656
555	2067	1650
556	2068	1645
557	2069	1638
558	2069	1632
559	2070	1626
560	2071	1620
561	2071	1614
562	2072	1609
563	2073	1603
564	2074	1597
565	2075	1591
566	2075	1585
567	2076	1579
568	2077	1573
569	2078	1567
570	2078	1561
571	2079	1556
572	2080	1550
573	2081	1544
574	2082	1539
575	2083	1533
576	2084	1527
577	2085	1522
578	2086	1517
579	2088	1512
580	2088	1506
581	2089	1500
582	2090	1495
583	2091	1489
584	2092	1484
585	2093	1478
586	2093	1473
587	2094	1467
588	2096	1462
589	2097	1457
590	2097	1451
591	2098	1446
592	2099	1440
593	2100	1435
594	2100	1430
595	2101	1424
596	2102	1419
597	2103	1413
598	2104	1408
599	2104	1403
600	2105	1397
601	2106	1392
602	2107	1387
603	2107	1381
604	2108	1376
605	2109	1371
606	2111	1366
607	2112	1361
608	2113	1356
609	2113	1351
610	2114	1346
611	2115	1341
612	2116	1336
613	2117	1330
614	2117	1325
615	2118	1320
616	2119	1315
617	2120	1310
618	2120	1305
619	2121	1300
620	2122	1295
621	2123	1290
622	2124	1285
623	2125	1280
624	2126	1276
625	2127	1271
626	2128	1266
627	2129	1261
628	2130	1256
629	2131	1251
630	2132	1246
631	2132	1241
632	2133	1237
633	2134	1232
634	2134	1227
635	2135	1222
636	2136	1217
637	2136	1212
638	2137	1207
639	2138	1202
640	2139	1198
641	2140	1193
642	2140	1188
643	2141	1183
644	2142	1179
645	2143	1174
646	2143	1169
647	2144	1164
648	2144	1160
649	2145	1155
650	2146	1150
651	2146	1145
652	2147	1141
653	2148	1136
654	2148	1131
655	2149	1127
656	2150	1122
657	2150	1117
658	2151	1113
659	2151	1108
660	2152	1103
661	2153	1099
662	2154	1095
663	2155	1090
664	2155	1085
665	2156	1081
666	2157	1076
667	2157	1072
668	2158	1067
669	2159	1063
670	2159	1058
671	2160	1054
672	2160	1049
673	2161	1045
674	2162	1041
675	2162	1036
676	2163	1032
677	2164	1027
678	2164	1023
679	2165	1018
680	2165	1014
681	2166	1010
682	2167	1006
683	2168	1001
684	2169	997
685	2170	993
686	2171	989
687	2171	984
688	2172	980
689	2172	976
690	2173	971
691	2174	967
692	2175	963
693	2175	959
694	2176	955
695	2177	951
696	2178	947
697	2179	942
698	2179	938
699	2180	934
700	2180	930
701	2181	926
702	2182	922
703	2183	918
704	2184	914
705	2185	909
706	2185	905
707	2186	901
708	2187	897
709	2188	893
710	2188	889
711	2189	885
712	2190	881
713	2190	877
714	2191	873
715	2192	869
716	2192	865
717	2193	861
718	2194	857
719	2194	853
720	2195	849
721	2196	845
722	2196	841
723	2197	837
724	2198	833
725	2199	830
726	2199	826
727	2200	822
728	2201	818
729	2201	814
730	2202	810
731	2203	806
732	2203	802
733	2204	798
734	2204	794
735	2205	791
736	2206	787
737	2206	783
738	2207	779
739	2208	775
740	2208	772
741	2209	768
742	2210	764
743	2210	760
744	2211	757
745	2212	753
746	2213	749
747	2213	745
748	2214	742
749	2215	738
750	2215	734
751	2216	730
752	2217	727
753	2217	723
754	2218	719
755	2219	716
756	2219	712
757	2220	708
758	2220	705
759	2221	701
760	2222	697
761	2222	694
762	2223	690
763	2224	687
764	2224	683
765	2225	679
766	2226	676
767	2227	672
768	2228	669
769	2228	665
770	2229	662
771	2230	658
772	2230	655
773	2231	651
774	2231	647
775	2232	644
776	2233	640
777	2233	637
778	2234	633
779	2235	630
780	2235	626
781	2236	623
782	2237	619
783	2237	616
784	2238	613
785	2239	609
786	2239	606
787	2240	602
788	2241	599
789	2242	595
790	2242	592
791	2243	589
792	2244	585
793	2244	582
794	2245	578
795	2245	575
796	2246	572
797	2247	568
798	2247	565
799	2248	562
800	2249	558
801	2249	555
802	2250	552
803	2251	548
804	2251	545
805	2252	542
806	2252	538
807	2253	535
808	2254	532
809	2255	528
810	2256	525
811	2256	522
812	2257	519
813	2258	515
814	2258	512
815	2259	509
816	2260	506
817	2260	502
818	2261	499
819	2262	496
820	2262	493
821	2263	490
822	2263	486
823	2264	483
824	2265	480
825	2265	477
826	2266	474
827	2267	470
828	2267	467
829	2268	464
830	2269	461
831	2270	458
832	2271	455
833	2272	452
834	2272	449
835	2273	446
836	2274	442
837	2275	439
838	2276	436
839	2276	433
840	2277	430
841	2278	427
842	2278	424
843	2280	421
844	2281	418
845	2282	415
846	2283	412
847	2284	409
848	2285	406
849	2286	403
850	2287	400
851	2288	397
852	2288	394
853	2289	391
854	2289	388
855	2290	385
856	2291	382
857	2291	379
858	2292	376
859	2293	373
860	2293	370
861	2294	367
862	2295	364
863	2296	361
864	2296	358
865	2297	355
866	2298	352
867	2299	349
868	2300	346
869	2301	343
870	2302	341
871	2303	338
872	2303	335
873	2304	332
874	2305	329
875	2305	326
876	2306	323
877	2307	320
878	2307	317
879	2308	314
880	2309	311
881	2309	309
882	2310	306
883	2311	303
884	2311	300
885	2312	297
886	2313	294
887	2314	291
888	2314	289
889	2315	286
890	2316	283
891	2316	280
892	2317	277
893	2318	274
894	2318	272
895	2319	269
896	2320	266
897	2320	263
898	2321	260
899	2322	258
900	2322	255
901	2323	252
902	2324	249
903	2324	246
904	2325	244
905	2326	241
906	2326	238
907	2327	235
908	2328	233
909	2329	230
910	2329	227
911	2330	224
912	2331	222
913	2331	219
914	2332	216
915	2333	213
916	2333	211
917	2334	208
918	2335	205
919	2335	203
920	2336	200
921	2337	197
922	2338	195
923	2339	192
924	2339	189
925	2340	187
926	2340	184
927	2341	181
928	2342	179
929	2343	176
930	2344	173
931	2344	171
932	2345	168
933	2346	165
934	2346	163
935	2347	160
936	2348	157
937	2348	155
938	2349	152
939	2350	150
940	2350	147
941	2351	144
942	2352	142
943	2352	139
944	2353	136
945	2354	134
946	2354	131
947	2355	129
948	2356	126
949	2356	124
950	2357	121
951	2358	118
952	2359	116
953	2360	113
954	2360	111
955	2361	108
956	2362	106
957	2362	103
958	2363	101
959	2364	98
960	2364	95
961	2365	93
962	2365	90
963	2366	88
964	2367	85
965	2367	83
966	2368	80
967	2369	78
968	2369	75
969	2370	73
970	2371	70
971	2372	68
972	2372	65
973	2373	63
974	2374	60
975	2375	58
976	2376	55
977	2377	53
978	2378	51
979	2378	48
980	2379	46
981	2380	43
982	2380	41
983	2381	38
984	2381	36
985	2382	33
986	2383	31
987	2383	28
988	2384	26
989	2385	24
990	2386	21
991	2387	19
992	2388	16
993	2389	14
994	2389	12
995	2390	9
996	2391	7
997	2391	4
998	2392	2
999	2393	0
